Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB
287,Luis Campusano,25,SDP,NL,-0.7,91,299,277,37,63,13,0,8,40,0,0,20,41,0.227,0.281,0.361,0.642,78,0.287,78,100,11,1,0,1,0
288,Parker Meadows*,24,DET,AL,2.2,82,298,270,39,66,12,6,9,28,9,4,25,76,0.244,0.31,0.433,0.743,109,0.324,108,117,0,1,1,1,0
289,Nolan Jones*,26,COL,NL,-0.7,79,297,256,28,58,13,1,3,28,5,4,36,91,0.227,0.321,0.32,0.641,75,0.289,73,82,7,1,1,3,2
290,Kerry Carpenter*,26,DET,AL,2.2,87,296,264,37,75,16,5,18,57,0,2,22,75,0.284,0.345,0.587,0.932,159,0.386,156,155,5,4,0,3,1
291,Víctor Robles,27,2TM,2LG,3.1,91,295,254,44,78,20,0,4,28,34,2,21,53,0.307,0.381,0.433,0.814,140,0.384,143,110,2,11,6,3,0
291,Víctor Robles,27,WSN,NL,0.1,14,33,25,3,3,0,0,0,2,4,1,5,9,0.12,0.281,0.12,0.401,21,0.254,48,3,0,1,1,1,0
291,Víctor Robles,27,SEA,AL,3.1,77,262,229,41,75,20,0,4,26,30,1,16,44,0.328,0.393,0.467,0.86,155,0.4,155,107,2,10,5,2,0
292,Adam Frazier*,32,KCR,AL,0.3,104,294,262,35,53,10,1,4,22,3,0,22,59,0.202,0.282,0.294,0.576,63,0.269,64,77,0,7,3,0,0
293,Max Muncy*,33,LAD,NL,3,73,293,237,47,55,17,0,15,48,1,0,45,77,0.232,0.358,0.494,0.852,141,0.361,136,117,1,5,0,6,3
294,Jose Iglesias,34,NYM,NL,3.1,85,291,270,39,91,16,1,4,26,6,2,12,39,0.337,0.381,0.448,0.83,137,0.361,136,121,4,8,0,1,1
295,Javier Báez,31,DET,AL,-1.1,80,289,272,25,50,12,0,6,37,8,1,12,69,0.184,0.221,0.294,0.516,46,0.236,41,80,10,2,0,3,1
296,Ezequiel Durán,25,TEX,AL,0,92,285,268,26,66,11,0,3,20,1,2,14,63,0.246,0.288,0.321,0.609,75,0.273,75,86,6,2,0,1,0
297,Joey Bart,27,PIT,NL,2.2,80,282,253,38,67,11,0,13,45,0,0,22,73,0.265,0.337,0.462,0.799,120,0.349,121,117,8,6,0,1,0
298,Jacob Stallings,34,COL,NL,1.8,82,281,243,31,64,17,1,9,36,0,0,27,65,0.263,0.357,0.453,0.81,118,0.355,119,110,10,9,1,1,1
299,Kevin Kiermaier*,34,2TM,2LG,1,116,281,259,31,51,9,3,5,26,6,2,12,86,0.197,0.237,0.313,0.55,56,0.253,56,81,4,2,7,1,0
299,Kevin Kiermaier*,34,TOR,AL,0.9,82,217,200,24,39,7,2,4,18,5,0,10,66,0.195,0.236,0.31,0.546,55,0.25,51,62,3,1,5,1,0
299,Kevin Kiermaier*,34,LAD,NL,0.1,34,64,59,7,12,2,1,1,8,1,2,2,20,0.203,0.242,0.322,0.564,60,0.263,74,19,1,1,2,0,0
300,Gary Sánchez,31,MIL,NL,0.2,89,280,245,30,54,7,1,11,37,0,0,27,76,0.22,0.307,0.392,0.699,93,0.312,94,96,9,5,0,3,0
